gene,sl_score,sl_n_drivers,sl_drivers,deg_score,deg_cancers,drug_score,n_drugs,approved_drugs,drug_names,immune_score,actionability
CTLA4,0.0,0,,0.0,,1.0,31,16,"TREMELIMUMAB, IPILIMUMAB, CYCLOSPORINE, ATEZOLIZUMAB, VISILIZUMAB",0.0,0.3
KIT,0.0,0,,0.0,BRCA(↓-3.1),1.0,85,35,"BINIMETINIB, BEVACIZUMAB, DOVITINIB, AMUVATINIB, AKT INHIBITOR MK2206",0.0,0.3
IDH1,0.0,0,,0.0,,1.0,412,104,"CANDIDIN, CHEMBL:CHEMBL530280, TUBERCIDIN, CHEMBL:CHEMBL482050, CETUXIMAB",0.0,0.3
ROS1,0.0,0,,0.0,LUAD(↓-1.8),1.0,48,20,"CERITINIB, CABOZANTINIB S-MALATE, CRIZOTINIB, TAMATINIB, ERLOTINIB",0.0,0.3
RB1,0.0,0,,0.0,,1.0,36,21,"BAY 61-3606, PALBOCICLIB, TOPOTECAN HYDROCHLORIDE, REBEMADLIN, PICTILISIB",0.0,0.3
KRAS,0.0,0,,0.0,,1.0,96,56,"ABEMACICLIB, BEVACIZUMAB, PD98059, DANOPREVIR, PELAREOREP",0.0,0.3
MET,0.0,0,,0.0,BRCA(↓-2.1),1.0,104,21,"MK-2461, PF-04217903, CABOZANTINIB S-MALATE, CAPMATINIB, GLESATINIB",0.0,0.3
DNMT3A,0.0,0,,0.0,,1.0,27,10,"GALUNISERTIB, AZACITIDINE, LDN-214117, DAUNORUBICIN LIPOSOMAL, COMPOUND 13R [PMID: 23639540]",0.0,0.3
MTOR,0.0,0,,0.0,,1.0,142,36,"VISTUSERTIB, EVEROLIMUS, SIROLIMUS, PYRROLIDINE DITHIOCARBAMATE, SU9516",0.0,0.3
FGFR2,0.0,0,,0.0,LUAD(↓-2.2),1.0,87,27,"INFIGRATINIB, ORANTINIB, ERDAFITINIB, FGFR1/2/3 INHIBITOR TYRA-200, FUTIBATINIB",0.0,0.3
PDGFRA,0.0,0,,0.0,BRCA(↓-1.5),1.0,61,23,"IMATINIB, TOVETUMAB, DASATINIB ANHYDROUS, RIPRETINIB, SUNITINIB",0.0,0.3
NRAS,0.0,0,,0.0,,1.0,132,52,"IRINOTECAN HYDROCHLORIDE, CISPLATIN, DABRAFENIB, CHELIDONINE, VEMURAFENIB",0.0,0.3
HDAC2,0.0,0,,0.0,,1.0,41,11,"PANOBINOSTAT, SN-38, VORINOSTAT, TRICHOSTATIN A, PANOBINOSTAT LACTATE",0.0,0.3
ESR1,0.0,0,,0.0,,1.0,216,109,"ESTRIOL, ERIBULIN MESYLATE, DIETHYLSTILBESTROL DIPHOSPHATE, EVEROLIMUS, FULVESTRANT",0.0,0.3
PDGFRB,0.0,0,,0.0,,1.0,79,25,"IMATINIB, REGORAFENIB, PETROSIOL A, BECAPLERMIN, RINUCUMAB",0.0,0.3
SRC,0.0,0,,0.0,,1.0,54,10,"XL-228, ILORASERTIB, GW843682X, CEDIRANIB, MASITINIB",0.0,0.3
JAK2,0.0,0,,0.0,,1.0,98,32,"TYRPHOSTIN 23, AZD1480, PF-562271, JAK2V617F INHIBITOR INCB160058, PEMBROLIZUMAB",0.0,0.3
AR,0.0,0,,0.0,,1.0,899,364,"ENOBOSARM, SULISOBENZONE, RITANSERIN, INDOCATE, DITHIODIMORPHOLINE",0.0,0.3
PTEN,0.0,0,,0.0,,1.0,151,64,"BUPARLISIB, PP-242, PANITUMUMAB, PILARALISIB, GSK2636771",0.0,0.3
PIK3CA,0.0,0,,0.0,,1.0,215,84,"CARBOPLATIN, AZD0156, CISPLATIN, ACALISIB, IPATASERTIB",0.0,0.3
FGFR1,0.0,0,,0.0,BRCA(↓-1.1),1.0,108,35,"AZD-4547, VACCINE, LY-2874455, LUCITANIB, ROGARATINIB",0.0,0.3
BRCA1,0.0,0,,0.0,,1.0,94,23,"DOXORUBICIN HYDROCHLORIDE, VELIPARIB, NILE RED, EUFLAVINE, CHEMBL:CHEMBL546649",0.0,0.3
ATR,0.0,0,,0.0,,1.0,32,11,"GARTISERTIB, TEMOZOLOMIDE, VE-821, ELIMUSERTIB, CERALASERTIB",0.0,0.3
ABL1,0.0,0,,0.0,,1.0,143,66,"RUSERONTINIB, MK-912, AZACITIDINE, MLN-8054, 1-AZAKENPAULLONE",0.0,0.3
EGFR,0.0,0,,0.0,BRCA(↓-2.8),1.0,192,60,"ILORASERTIB, ERLOTINIB, MDX-447, ZALUTUMUMAB, RUSERONTINIB",0.0,0.3
HDAC1,0.0,0,,0.0,,0.95,52,9,"DAUNORUBICIN LIPOSOMAL, RESMINOSTAT, ROMIDEPSIN, FIMEPINOSTAT, SN-38",0.0,0.285
HDAC6,0.0,0,,0.0,,0.95,42,9,"QUISINOSTAT, LARGAZOLE, PANOBINOSTAT, ABEXINOSTAT, RICOLINOSTAT",0.0,0.285
CD274,0.0,0,,0.0,LUAD(↓-1.0),0.95,27,9,"SHR-1316, NIVOLUMAB, PACMILIMAB, DANBURSTOTUG, COSIBELIMAB",0.0,0.285
EZH2,0.0,0,,0.3797749312158162,"BRCA(↑1.8), LUAD(↑2.0)",0.6,18,2,"ZEPRUMETOSTAT, JQEZ5, GSK126, TAZEMETOSTAT, TAZEMETOSTAT HYDROBROMIDE",0.0,0.274943732803954
PDCD1,0.0,0,,0.0,,0.9,40,8,"PEMBROLIZUMAB, PUCOTENLIMAB, TISLELIZUMAB, EZABENLIMAB, ANTI-PD-1 MONOCLONAL ANTIBODY SYM021",0.0,0.27
PARP2,0.0,0,,0.0,,0.85,12,7,"E-7016, NIRAPARIB, VELIPARIB, RUCAPARIB, RUCAPARIB CAMSYLATE",0.0,0.255
NPM1,0.0,0,,0.0,,0.8,7,6,"MIDOSTAURIN, NUCLEOLIN ANTAGONIST IPP-204106N, CERITINIB, CRIZOTINIB, TRETINOIN",0.0,0.24
SMO,0.0,0,,0.0,,0.8,12,6,"LEQ506, PATIDEGIB, SONIDEGIB, TAK-441, BMS-833923",0.0,0.24
SEPHS2,0.6,3,"CTNNB1, EGFR, ERBB2",0.10771881366200704,BRCA(↑1.1),0.0,0,0,,0.0,0.23692970341550176
MMP11,0.0,0,,0.9232646690269533,"BRCA(↑5.4), LUAD(↑3.8)",0.0,0,0,,0.0,0.2308161672567383
COL10A1,0.0,0,,0.9042215080282121,"BRCA(↑5.5), LUAD(↑3.5)",0.0,0,0,,0.0,0.22605537700705303
BRD4,0.0,0,,0.0,,0.75,18,5,"BRD4 INHIBITOR PLX2853, (+)-JQ1, BIRABRESIB, ALPRAZOLAM, ESTAZOLAM",0.0,0.22499999999999998
ORC6,0.4,2,"EGFR, MYC",0.32739364183460185,"BRCA(↑1.5), LUAD(↑1.8)",0.0,0,0,,0.0,0.22184841045865045
MDM2,0.0,0,,0.0,,0.7,26,4,"DIPLAMINE B, NUTLIN-3, TCDD, NAVTEMADLIN, SULANEMADLIN",0.0,0.21
GGPS1,0.6,3,"APC, BRCA2, ERBB2",0.0,,0.0,0,0,,0.0,0.21
CHMP4B,0.6,3,"CTNNB1, EGFR, ERBB2",0.0,,0.0,0,0,,0.0,0.21
CDS2,0.6,3,"EGFR, ERBB2, PIK3CA",0.0,,0.0,0,0,,0.0,0.21
HNRNPH1,0.6,3,"CTNNB1, EGFR, KRAS",0.0,,0.0,0,0,,0.0,0.21
TUBB,0.6,3,"CTNNB1, KRAS, VHL",0.0,,0.0,0,0,,0.0,0.21
ITGAV,0.6,3,"KEAP1, PIK3CA, VHL",0.0,,0.0,0,0,,0.0,0.21
PTCH1,0.0,0,,0.0,BRCA(↓-1.1),0.65,4,3,"SONIDEGIB, FORETINIB, TRETINOIN, VISMODEGIB",0.0,0.195
CST1,0.0,0,,0.7426027092818698,"BRCA(↑3.8), LUAD(↑3.6)",0.0,0,0,,0.0,0.18565067732046744
NOTCH1,0.0,0,,0.0,,0.6,8,2,"HYDROCORTISONE BUTYRATE, RO4929097, NOTCH SIGNALING PATHWAY INHIBITOR MK0752, CRENIGACESTAT, MK-0752",0.0,0.18
COL11A1,0.0,0,,0.7020095429119129,"BRCA(↑4.4), LUAD(↑2.7)",0.0,0,0,,0.0,0.17550238572797822
UBE2C,0.0,0,,0.6928201660685629,"BRCA(↑3.6), LUAD(↑3.4)",0.0,0,0,,0.0,0.17320504151714072
CFL1,0.4,2,"BRAF, BRCA1",0.10078963327316517,BRCA(↑1.0),0.0,0,0,,0.0,0.16519740831829127
TTK,0.2,1,FBXW7,0.38045702633944006,"BRCA(↑1.9), LUAD(↑1.9)",0.0,0,0,,0.0,0.16511425658486
WEE1,0.0,0,,0.0,,0.55,12,1,"CHEMBL:CHEMBL505670, ADAVOSERTIB, WITHAFERIN A, GEMCITABINE, PLATINUM COMPOUND",0.0,0.165
TOP2A,0.0,0,,0.6446516342956693,"BRCA(↑3.1), LUAD(↑3.3)",0.0,0,0,,0.0,0.16116290857391732
MMP1,0.0,0,,0.6412129926055753,"BRCA(↑2.9), LUAD(↑3.5)",0.0,0,0,,0.0,0.16030324815139382
S100P,0.0,0,,0.6409022474370778,"BRCA(↑3.6), LUAD(↑2.8)",0.0,0,0,,0.0,0.16022556185926945
MYBL2,0.0,0,,0.6381052127173751,"BRCA(↑3.1), LUAD(↑3.3)",0.0,0,0,,0.0,0.15952630317934377
CRABP2,0.0,0,,0.6320338443313717,"BRCA(↑1.9), LUAD(↑4.5)",0.0,0,0,,0.0,0.15800846108284292
KIF14,0.2,1,MYC,0.35018393240874995,"BRCA(↑1.8), LUAD(↑1.7)",0.0,0,0,,0.0,0.15754598310218748
SPP1,0.0,0,,0.6295636845761042,"BRCA(↑2.1), LUAD(↑4.2)",0.0,0,0,,0.0,0.15739092114402606
MAD2L1,0.2,1,BRCA2,0.341076293002012,"BRCA(↑1.6), LUAD(↑1.8)",0.0,0,0,,0.0,0.155269073250503
MMP13,0.0,0,,0.6139576351847419,"BRCA(↑3.4), LUAD(↑2.7)",0.0,0,0,,0.0,0.15348940879618547
GJB2,0.0,0,,0.6113796444777726,"BRCA(↑3.2), LUAD(↑3.0)",0.0,0,0,,0.0,0.15284491111944315
CDC20,0.0,0,,0.6003777296714405,"BRCA(↑2.8), LUAD(↑3.2)",0.0,0,0,,0.0,0.15009443241786014
TPX2,0.0,0,,0.5960259781540194,"BRCA(↑3.0), LUAD(↑2.9)",0.0,0,0,,0.0,0.14900649453850484
COMP,0.0,0,,0.5958400369604748,"BRCA(↑4.0), LUAD(↑1.9)",0.0,0,0,,0.0,0.1489600092401187
PITX1,0.0,0,,0.5895129264323322,"BRCA(↑3.2), LUAD(↑2.7)",0.0,0,0,,0.0,0.14737823160808305
NEK2,0.0,0,,0.5861412525604677,"BRCA(↑3.3), LUAD(↑2.6)",0.0,0,0,,0.0,0.14653531314011692
BIRC5,0.0,0,,0.5742069530669948,"BRCA(↑2.9), LUAD(↑2.9)",0.0,0,0,,0.0,0.1435517382667487
SGO1,0.2,1,VHL,0.28659587576607626,"BRCA(↑1.5), LUAD(↑1.3)",0.0,0,0,,0.0,0.14164896894151907
CTHRC1,0.0,0,,0.5649147946771792,"BRCA(↑2.4), LUAD(↑3.2)",0.0,0,0,,0.0,0.1412286986692948
GRB2,0.4,2,"BRAF, NRAS",0.0,,0.0,0,0,,0.0,0.13999999999999999
PTPN11,0.4,2,"BRAF, NRAS",0.0,,0.0,0,0,,0.0,0.13999999999999999
ATP6V1C1,0.4,2,"FBXW7, VHL",0.0,,0.0,0,0,,0.0,0.13999999999999999
CDC42,0.4,2,"CTNNB1, VHL",0.0,,0.0,0,0,,0.0,0.13999999999999999
PSMA4,0.4,2,"BRCA2, VHL",0.0,,0.0,0,0,,0.0,0.13999999999999999
RABGGTB,0.4,2,"BRCA2, FBXW7",0.0,,0.0,0,0,,0.0,0.13999999999999999
EP300,0.4,2,"EGFR, MYC",0.0,,0.0,0,0,,0.0,0.13999999999999999
EEFSEC,0.4,2,"CTNNB1, EGFR",0.0,,0.0,0,0,,0.0,0.13999999999999999
CFLAR,0.4,2,"BRCA2, VHL",0.0,,0.0,0,0,,0.0,0.13999999999999999
PPP1R15B,0.4,2,"BRAF, MYC",0.0,,0.0,0,0,,0.0,0.13999999999999999
MOB4,0.4,2,"FBXW7, VHL",0.0,,0.0,0,0,,0.0,0.13999999999999999
POLR3B,0.4,2,"BRAF, BRCA2",0.0,,0.0,0,0,,0.0,0.13999999999999999
PYCR1,0.0,0,,0.5490660748573475,"BRCA(↑2.1), LUAD(↑3.4)",0.0,0,0,,0.0,0.13726651871433687
LINC01614,0.0,0,,0.5483790823173527,"BRCA(↑3.7), LUAD(↑1.8)",0.0,0,0,,0.0,0.13709477057933817
CHAF1B,0.2,1,MYC,0.2575611586354949,"BRCA(↑1.1), LUAD(↑1.5)",0.0,0,0,,0.0,0.13439028965887373
KIF4A,0.0,0,,0.5339421953638013,"BRCA(↑2.8), LUAD(↑2.5)",0.0,0,0,,0.0,0.13348554884095032
CEACAM5,0.0,0,,0.5285736491827977,"BRCA(↑2.1), LUAD(↑3.2)",0.0,0,0,,0.0,0.13214341229569943
IQGAP3,0.0,0,,0.5280459397912324,"BRCA(↑2.7), LUAD(↑2.6)",0.0,0,0,,0.0,0.1320114849478081
UBE2T,0.0,0,,0.5250028609356161,"BRCA(↑2.6), LUAD(↑2.7)",0.0,0,0,,0.0,0.13125071523390403
ANLN,0.0,0,,0.5223825434448974,"BRCA(↑2.5), LUAD(↑2.7)",0.0,0,0,,0.0,0.13059563586122436
KIF20A,0.0,0,,0.5202597932547157,"BRCA(↑2.8), LUAD(↑2.4)",0.0,0,0,,0.0,0.13006494831367893
MELK,0.0,0,,0.5146598205765208,"BRCA(↑2.6), LUAD(↑2.5)",0.0,0,0,,0.0,0.1286649551441302
CEP55,0.0,0,,0.513756778406558,"BRCA(↑2.7), LUAD(↑2.5)",0.0,0,0,,0.0,0.1284391946016395
GINS4,0.2,1,BRCA2,0.2333882021570341,"BRCA(↑1.0), LUAD(↑1.3)",0.0,0,0,,0.0,0.12834705053925852
EEF1A2,0.0,0,,0.5105673952161428,"BRCA(↑2.3), LUAD(↑2.8)",0.0,0,0,,0.0,0.1276418488040357
KIF2C,0.0,0,,0.5027743417295678,"BRCA(↑2.5), LUAD(↑2.6)",0.0,0,0,,0.0,0.12569358543239195
DLGAP5,0.0,0,,0.5003612910792897,"BRCA(↑2.5), LUAD(↑2.5)",0.0,0,0,,0.0,0.12509032276982243
AURKB,0.0,0,,0.4993636801169422,"BRCA(↑2.4), LUAD(↑2.6)",0.0,0,0,,0.0,0.12484092002923555
TK1,0.0,0,,0.49717075053965765,"BRCA(↑2.6), LUAD(↑2.3)",0.0,0,0,,0.0,0.12429268763491441
NUF2,0.0,0,,0.4969920494447123,"BRCA(↑2.6), LUAD(↑2.4)",0.0,0,0,,0.0,0.12424801236117808
HJURP,0.0,0,,0.4961226097709618,"BRCA(↑2.4), LUAD(↑2.5)",0.0,0,0,,0.0,0.12403065244274045
FOXM1,0.0,0,,0.4958122555893102,"BRCA(↑2.6), LUAD(↑2.3)",0.0,0,0,,0.0,0.12395306389732755
CENPF,0.0,0,,0.495236129660616,"BRCA(↑2.6), LUAD(↑2.4)",0.0,0,0,,0.0,0.123809032415154
RRM2,0.0,0,,0.4928025637376908,"BRCA(↑2.5), LUAD(↑2.4)",0.0,0,0,,0.0,0.1232006409344227
IGHG4,0.0,0,,0.49175492496251766,"BRCA(↑1.8), LUAD(↑3.1)",0.0,0,0,,0.0,0.12293873124062941
TUBG1,0.2,1,BRAF,0.21137268481125907,"BRCA(↑1.1), LUAD(↑1.0)",0.0,0,0,,0.0,0.12284317120281477
PBK,0.0,0,,0.4875339717344689,"BRCA(↑2.6), LUAD(↑2.3)",0.0,0,0,,0.0,0.12188349293361722
MKI67,0.0,0,,0.48744694623778306,"BRCA(↑2.5), LUAD(↑2.3)",0.0,0,0,,0.0,0.12186173655944577
HMGB3,0.0,0,,0.4864452216208641,"BRCA(↑2.0), LUAD(↑2.8)",0.0,0,0,,0.0,0.12161130540521603
COL1A1,0.0,0,,0.485989284063128,"BRCA(↑2.3), LUAD(↑2.6)",0.0,0,0,,0.0,0.121497321015782
CDCA8,0.0,0,,0.4850748758244025,"BRCA(↑2.4), LUAD(↑2.4)",0.0,0,0,,0.0,0.12126871895610063
KIFC1,0.0,0,,0.48405062949803657,"BRCA(↑2.7), LUAD(↑2.2)",0.0,0,0,,0.0,0.12101265737450914
CCNB1,0.0,0,,0.47523938593137577,"BRCA(↑2.3), LUAD(↑2.5)",0.0,0,0,,0.0,0.11880984648284394
ASF1B,0.0,0,,0.4748335632165732,"BRCA(↑2.7), LUAD(↑2.0)",0.0,0,0,,0.0,0.1187083908041433
H2BC5,0.0,0,,0.47360823254422735,"BRCA(↑2.4), LUAD(↑2.4)",0.0,0,0,,0.0,0.11840205813605684
CCNB2,0.0,0,,0.4712450516836878,"BRCA(↑2.4), LUAD(↑2.3)",0.0,0,0,,0.0,0.11781126292092195
PLK1,0.0,0,,0.4680419466395076,"BRCA(↑2.4), LUAD(↑2.3)",0.0,0,0,,0.0,0.1170104866598769
UHRF1,0.0,0,,0.46747097291086864,"BRCA(↑2.4), LUAD(↑2.2)",0.0,0,0,,0.0,0.11686774322771716
ZWINT,0.0,0,,0.4624189573299356,"BRCA(↑2.4), LUAD(↑2.2)",0.0,0,0,,0.0,0.1156047393324839
TROAP,0.0,0,,0.45999161390837023,"BRCA(↑2.3), LUAD(↑2.3)",0.0,0,0,,0.0,0.11499790347709256
CDCA5,0.0,0,,0.4598889571356974,"BRCA(↑2.4), LUAD(↑2.2)",0.0,0,0,,0.0,0.11497223928392435
CCNA2,0.0,0,,0.45523722973453806,"BRCA(↑2.3), LUAD(↑2.3)",0.0,0,0,,0.0,0.11380930743363452
PTTG1,0.0,0,,0.45208460787704785,"BRCA(↑2.6), LUAD(↑1.9)",0.0,0,0,,0.0,0.11302115196926196
FAM83A,0.0,0,,0.446872401858621,LUAD(↑4.5),0.0,0,0,,0.0,0.11171810046465525
CDC6,0.0,0,,0.44473613963955294,"BRCA(↑2.1), LUAD(↑2.4)",0.0,0,0,,0.0,0.11118403490988824
CDK1,0.0,0,,0.44112516434742277,"BRCA(↑2.6), LUAD(↑1.8)",0.0,0,0,,0.0,0.11028129108685569
CENPA,0.0,0,,0.43946942661461585,"BRCA(↑2.1), LUAD(↑2.3)",0.0,0,0,,0.0,0.10986735665365396
EXO1,0.0,0,,0.43793486134664894,"BRCA(↑2.3), LUAD(↑2.1)",0.0,0,0,,0.0,0.10948371533666224
SPAG5,0.0,0,,0.4373846667507504,"BRCA(↑2.1), LUAD(↑2.3)",0.0,0,0,,0.0,0.1093461666876876
H3C10,0.0,0,,0.4343452458169089,"BRCA(↑2.6), LUAD(↑1.7)",0.0,0,0,,0.0,0.10858631145422723
AURKA,0.0,0,,0.43418617177353847,"BRCA(↑2.4), LUAD(↑1.9)",0.0,0,0,,0.0,0.10854654294338462
KIF18B,0.0,0,,0.43318129961609014,"BRCA(↑2.1), LUAD(↑2.2)",0.0,0,0,,0.0,0.10829532490402254
CDT1,0.0,0,,0.4317455575105466,"BRCA(↑2.1), LUAD(↑2.2)",0.0,0,0,,0.0,0.10793638937763665
LRRC15,0.0,0,,0.43078307712476277,"BRCA(↑3.1), LUAD(↑1.2)",0.0,0,0,,0.0,0.10769576928119069
CDKN3,0.0,0,,0.4291978668509924,"BRCA(↑2.1), LUAD(↑2.1)",0.0,0,0,,0.0,0.1072994667127481
PKMYT1,0.0,0,,0.42838710424987153,"BRCA(↑2.4), LUAD(↑1.9)",0.0,0,0,,0.0,0.10709677606246788
NDC80,0.0,0,,0.4276262136138279,"BRCA(↑2.2), LUAD(↑2.0)",0.0,0,0,,0.0,0.10690655340345698
HMMR,0.0,0,,0.42736177640029893,"BRCA(↑2.2), LUAD(↑2.1)",0.0,0,0,,0.0,0.10684044410007473
PAFAH1B3,0.0,0,,0.42721601035812873,"BRCA(↑2.3), LUAD(↑1.9)",0.0,0,0,,0.0,0.10680400258953218
GAPDH,0.2,1,ERBB2,0.14557010956036684,LUAD(↑1.5),0.0,0,0,,0.0,0.1063925273900917
FAM111B,0.0,0,,0.4255342320272635,"BRCA(↑2.3), LUAD(↑1.9)",0.0,0,0,,0.0,0.10638355800681587
IGHG1,0.0,0,,0.4231586240373636,"BRCA(↑1.4), LUAD(↑2.8)",0.0,0,0,,0.0,0.1057896560093409
BUB1B,0.0,0,,0.42236281435524814,"BRCA(↑2.1), LUAD(↑2.1)",0.0,0,0,,0.0,0.10559070358881203
ASPM,0.0,0,,0.4222517061128765,"BRCA(↑2.2), LUAD(↑2.0)",0.0,0,0,,0.0,0.10556292652821912
IGSF9,0.0,0,,0.42041888108807673,"BRCA(↑1.8), LUAD(↑2.4)",0.0,0,0,,0.0,0.10510472027201918
RFC4,0.2,1,FBXW7,0.13864142079609001,LUAD(↑1.4),0.0,0,0,,0.0,0.1046603551990225
BUB1,0.0,0,,0.4182966128730833,"BRCA(↑2.3), LUAD(↑1.8)",0.0,0,0,,0.0,0.10457415321827082
EPN3,0.0,0,,0.418008316579226,"BRCA(↑2.0), LUAD(↑2.2)",0.0,0,0,,0.0,0.1045020791448065
CXCL13,0.0,0,,0.41635968589532235,"BRCA(↑1.2), LUAD(↑3.0)",0.0,0,0,,0.0,0.10408992147383059
CCN4,0.0,0,,0.41613093602890106,"BRCA(↑2.6), LUAD(↑1.6)",0.0,0,0,,0.0,0.10403273400722526
SPINK1,0.0,0,,0.4149161713693751,LUAD(↑4.1),0.0,0,0,,0.0,0.10372904284234377
GINS1,0.0,0,,0.41480383517791547,"BRCA(↑2.0), LUAD(↑2.2)",0.0,0,0,,0.0,0.10370095879447887
RECQL4,0.0,0,,0.4120888554715463,"BRCA(↑1.9), LUAD(↑2.2)",0.0,0,0,,0.0,0.10302221386788657
SKA3,0.0,0,,0.4119805025418601,"BRCA(↑2.1), LUAD(↑2.0)",0.0,0,0,,0.0,0.10299512563546502
FAM83D,0.0,0,,0.4119432081591956,"BRCA(↑2.5), LUAD(↑1.6)",0.0,0,0,,0.0,0.1029858020397989
SPDEF,0.0,0,,0.41119036269309445,"BRCA(↑1.7), LUAD(↑2.4)",0.0,0,0,,0.0,0.10279759067327361
KIF11,0.0,0,,0.4109135421163764,"BRCA(↑2.1), LUAD(↑2.0)",0.0,0,0,,0.0,0.1027283855290941
SPC24,0.0,0,,0.410392857840823,"BRCA(↑2.2), LUAD(↑1.9)",0.0,0,0,,0.0,0.10259821446020576
CILP2,0.0,0,,0.41025556652133455,"BRCA(↑2.2), LUAD(↑1.9)",0.0,0,0,,0.0,0.10256389163033364
H2AC13,0.0,0,,0.40923149517904883,"BRCA(↑2.2), LUAD(↑1.9)",0.0,0,0,,0.0,0.10230787379476221
CDC45,0.0,0,,0.40880980731357963,"BRCA(↑2.0), LUAD(↑2.1)",0.0,0,0,,0.0,0.10220245182839491
NCAPG,0.0,0,,0.4071574242965717,"BRCA(↑2.1), LUAD(↑2.0)",0.0,0,0,,0.0,0.10178935607414293
IQANK1,0.0,0,,0.40696052165330193,"BRCA(↑2.1), LUAD(↑2.0)",0.0,0,0,,0.0,0.10174013041332548
MMP9,0.0,0,,0.40688859532760635,"BRCA(↑2.1), LUAD(↑2.0)",0.0,0,0,,0.0,0.10172214883190159
CBLC,0.0,0,,0.40592295528566424,"BRCA(↑1.4), LUAD(↑2.6)",0.0,0,0,,0.0,0.10148073882141606
KIF26B,0.0,0,,0.4058268277889715,"BRCA(↑1.9), LUAD(↑2.2)",0.0,0,0,,0.0,0.10145670694724288
MEX3A,0.0,0,,0.40484614763443094,"BRCA(↑1.5), LUAD(↑2.6)",0.0,0,0,,0.0,0.10121153690860774
TEDC2,0.0,0,,0.40243741699777147,"BRCA(↑1.9), LUAD(↑2.1)",0.0,0,0,,0.0,0.10060935424944287
DTL,0.0,0,,0.400108231926374,"BRCA(↑2.4), LUAD(↑1.6)",0.0,0,0,,0.0,0.1000270579815935
TFF1,0.0,0,,0.39992695643054077,"BRCA(↑1.7), LUAD(↑2.3)",0.0,0,0,,0.0,0.09998173910763519
